bodywork_type,brand,city,color,doors,fuel_type,kilometers,model,motor,price,state,transmission,year
,Kia,Kennedy,,5,Gasolina,120,Picanto,,49300000,Bogotá D.C.,Mecánica,2023
Sedán,Volkswagen,Suba,Rojo,5,Gasolina,126300,Jetta,2.0,31000000,Bogotá D.C.,Mecánica,2009
Camioneta,Nissan,Rafael Uribe Uribe,Verde,4,Gasolina,90884,D22,2400,61000000,Bogotá D.C.,Mecánica,2011
Camioneta,Ford,Usaquén,Azul,5,Gasolina,96200,Edge,3.5,58000000,Bogotá D.C.,Automática,2011
Hatchback,Mercedes-Benz,Cajicá,Blanco,5,Gasolina,102741,Clase B 180,,46000000,Cundinamarca,Automática,2012
Camioneta,Nissan,Suba,Blanco,4,Diésel,96200,Frontier,2500,53500000,Bogotá D.C.,Mecánica,2012
Sedán,Mercedes-Benz,Usaquén,Azul,4,Gasolina,45300,Clase E,2000 TURBO,88000000,Bogotá D.C.,Automática,2014
Camioneta,Ford,Suba,Plateado,5,Gasolina,111000,Edge,3.5,70000000,Bogotá D.C.,Automática,2014
Pick-Up,Chevrolet,Suba,Blanco,2,Gasolina,111000,N300,1.5,63000000,Bogotá D.C.,Mecánica,2017
Camioneta,Audi,Usaquén,Plateado,5,Gasolina,39000,Q3,1.4,98000000,Bogotá D.C.,Automática,2017
Camioneta,Jaguar,Martires,Negro,5,Gasolina,11500,E-Pace,,179000000,Bogotá D.C.,Automática,2018
Camioneta,Nissan,Pereira,Blanco,5,Gasolina,39681,Murano,3.5,112000000,Risaralda,Automática,2018
Sedán,Dodge,Socorro,Gris,4,Gasolina,100000,dodge desoto D8,,70000000,Santander,Mecánica,1938
Sedán,Mercedes-Benz,Usaquén,Plateado,4,Gasolina,12200,Clase C,1600 Turbo,125000000,Bogotá D.C.,Automática,2019
,Nissan,Usaquén,Gris,5,Gasolina,24000,March,1600,52800000,Bogotá D.C.,Automática,2019
Camioneta,Mazda,Engativa,Rojo,5,Gasolina,30000,CX-3,2.0,77000000,Bogotá D.C.,Mecánica,2019
Coupé,Toyota,Santa Fe,Blanco,2,Gasolina,50000,FJ-40,3500,31500000,Bogotá D.C.,Mecánica,1978
,Toyota,Turbaco,,3,Gasolina,1200,FJ-40,,95000000,Bolívar,Mecánica,1978
Camioneta,Nissan,Granada,,5,Gasolina,100,Patrol,4.0,18000000,Meta,Mecánica,1978
,Kia,Suba,Rojo,5,Gasolina,1100,Picanto,1250,44000000,Bogotá D.C.,Mecánica,2022
Camioneta,Ssangyong,Suba,Plateado,5,Gasolina,91000,Kyron,2.3,31900000,Bogotá D.C.,Mecánica,2011
,Nissan,Suba,Blanco,4,Diésel,226000,Navara,,56900000,Bogotá D.C.,Automática,2011
Pick-Up,Chevrolet,Duitama,Blanco,4,Diésel,1,LUV,2.5,59500000,Boyaca,Mecánica,2011
Camioneta,Dodge,Suba,Plateado,5,Gasolina,86665,Durango,3.6,79900000,Bogotá D.C.,Mecánica,2012
